Recording,Participant,Timeline,TOI,Interval,Media,AOI,AOI_size,Duration_of_interval,Start_of_interval,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Total_duration_of_Glances,Number_of_Glances
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,122574,12165,0,2757,179,8,404,1199,3
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,93822,11923,0,2204,242,7,898,1376,2
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,13441,11224,0,0,0,0,11224,266,0
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,16537,12072,0,1395,419,3,3681,299,1
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,42742,11585,0,1551,141,11,427,1775,4
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,8524,12904,0,688,287,2,3163,217,1
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,34975,12888,0,1220,187,6,1155,538,3
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,19252,11571,0,1092,364,3,5007,299,0
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,72514,11114,0,1736,172,8,1588,992,3
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,54204,12454,0,734,229,3,5339,544,1
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13335,11643,0,908,440,2,8443,224,0
UXRecording1,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,40537,11330,0,195,189,1,8636,658,2
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,131719,11156,15000,3094,238,13,409,1408,2
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,91058,11338,15000,1866,225,7,907,1042,2
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,14702,12002,15000,1074,537,2,6178,296,0
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,16332,11154,15000,1022,511,2,5897,340,1
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,42750,11179,15000,2290,229,10,449,1062,3
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9720,12651,15000,735,316,2,2599,220,1
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,30757,11475,15000,1407,201,7,1366,590,2
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,19714,11892,15000,0,0,0,11892,225,0
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,72201,12913,15000,1565,213,7,1983,1163,3
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,59698,12942,15000,707,227,3,6491,603,1
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,12103,12449,15000,690,345,2,5507,272,1
UXRecording2,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,40049,12198,15000,308,154,2,10456,417,2
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,116613,11555,30000,3030,155,15,532,817,2
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,96902,11131,30000,1845,177,6,521,1135,2
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,14198,11649,30000,669,601,1,6556,256,0
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,15967,11914,30000,1389,533,2,6137,359,1
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,41760,12486,30000,1448,181,8,641,1110,4
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9875,11349,30000,858,429,2,3086,279,1
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,33272,12764,30000,1041,203,4,851,706,2
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,20359,12092,30000,1038,519,2,4353,192,0
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,77526,11101,30000,1652,236,7,1400,1143,3
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,54151,11945,30000,807,269,3,6229,507,2
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,12063,11805,30000,867,367,2,6856,216,1
