Recording,Participant,Timeline,TOI,Interval,Media,AOI,AOI_size,Duration_of_interval,Start_of_interval,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade
Recording2,VT1,Timeline1,Crown,1,Crown,bed,87780,16203,79767,1575,315.0,200.0,392.0,5,2889.0,325.0,crown_target,3.31239,1575,315.0,200.0,392.0,5,2889.0,325.0,3.31239,1633,408.0,275.0,650.0,4,2889.0,325.0,1808,452.0,317.0,692.0,4,2839.0,375.0,0,-1.0,-1.0,0,-1.0,1,2839.0,3214.0,448.17,502.95
Recording2,VT1,Timeline1,Crown,1,Crown,book,1106,16203,79767,0,0.0,0.0,0.0,0,16203.0,0.0,crown_target,3.277085555555555,0,0.0,0.0,0.0,0,16203.0,0.0,3.277085555555555,0,0.0,0.0,0.0,0,16203.0,0.0,0,0.0,0.0,0.0,0,16203.0,0.0,0,-1.0,-1.0,0,-1.0,0,0.0,0.0,0.0,0.0
Recording2,VT1,Timeline1,Crown,1,Crown,clock,420,16203,79767,0,0.0,0.0,0.0,0,16203.0,0.0,crown_target,3.277085555555555,0,0.0,0.0,0.0,0,16203.0,0.0,3.277085555555555,0,0.0,0.0,0.0,0,16203.0,0.0,0,0.0,0.0,0.0,0,16203.0,0.0,0,-1.0,-1.0,0,-1.0,0,0.0,0.0,0.0,0.0
Recording2,VT1,Timeline1,Crown,1,Crown,crown_target,973,16203,79767,983,983.0,983.0,983.0,1,13646.0,983.0,crown_target,3.37265,983,983.0,983.0,983.0,1,13646.0,983.0,3.37265,983,983.0,983.0,983.0,1,13646.0,983.0,1025,1025.0,1025.0,1025.0,1,13604.0,1025.0,1,16170.0,2524.0,0,-1.0,0,0.0,14629.0,0.0,39.25
Recording2,VT1,Timeline1,Crown,1,Crown,flower,2658,16203,79767,1858,465.0,242.0,717.0,4,897.0,350.0,crown_target,3.24081,1858,465.0,242.0,717.0,4,897.0,350.0,3.24081,1858,465.0,242.0,717.0,4,897.0,350.0,1983,496.0,283.0,733.0,4,856.0,392.0,0,-1.0,-1.0,0,-1.0,0,856.0,1247.0,328.18,275.73
Recording2,VT1,Timeline1,Crown,1,Crown,hat,1217,16203,79767,192,192.0,192.0,192.0,1,9838.0,192.0,crown_target,3.3092,192,192.0,192.0,192.0,1,9838.0,192.0,3.3092,192,192.0,192.0,192.0,1,9838.0,192.0,233,233.0,233.0,233.0,1,9796.0,233.0,0,-1.0,-1.0,0,-1.0,0,9796.0,10030.0,329.87,91.39
Recording2,VT1,Timeline1,Crown,1,Crown,lamp,13169,16203,79767,575,287.0,242.0,333.0,2,7680.0,333.0,crown_target,3.27431,575,287.0,242.0,333.0,2,7680.0,333.0,3.27431,575,287.0,242.0,333.0,2,7680.0,333.0,667,333.0,292.0,375.0,2,7638.0,375.0,0,-1.0,-1.0,0,-1.0,0,7638.0,8013.0,364.0,199.99
Recording2,VT1,Timeline1,Crown,1,Crown,mirror,2076,16203,79767,0,0.0,0.0,0.0,0,16203.0,0.0,crown_target,3.277085555555555,0,0.0,0.0,0.0,0,16203.0,0.0,3.277085555555555,0,0.0,0.0,0.0,0,16203.0,0.0,0,0.0,0.0,0.0,0,16203.0,0.0,0,-1.0,-1.0,0,-1.0,0,0.0,0.0,0.0,0.0
Recording2,VT1,Timeline1,Crown,1,Crown,shoes,4204,16203,79767,617,308.0,292.0,325.0,2,3289.0,292.0,crown_target,3.3549,617,308.0,292.0,325.0,2,3289.0,292.0,3.3549,617,308.0,292.0,325.0,2,3289.0,292.0,750,375.0,367.0,383.0,2,3214.0,367.0,0,-1.0,-1.0,0,-1.0,0,3214.0,3580.0,502.95,463.42
Recording2,VT1,Timeline1,Crown,1,Crown,wardrobe,24359,16203,79767,675,337.0,283.0,392.0,2,1289.0,283.0,crown_target,3.23149,675,337.0,283.0,392.0,2,1289.0,283.0,3.23149,675,337.0,283.0,392.0,2,1289.0,283.0,783,392.0,325.0,458.0,2,1247.0,325.0,0,-1.0,-1.0,0,-1.0,0,1247.0,1572.0,275.73,268.5
